Time Stamp (ms),qw,qx,qy,qz
16443,-0.161133,-0.0875854,0.297363,-0.937012
16478,-0.138062,-0.0679321,0.289429,-0.944763
16510,-0.131592,-0.078064,0.279114,-0.947998
16545,-0.103271,-0.0889893,0.267944,-0.953735
16577,0.0281982,-0.0665283,0.228027,-0.970947
16609,0.133728,0.0195313,0.199524,-0.97052
16644,0.207275,0.0541382,0.216125,-0.952576
16678,0.233398,0.0342407,0.240295,-0.941589
16710,0.272766,0.00634766,0.244568,-0.93042
16746,0.305176,-0.00299072,0.223511,-0.92572
16778,0.292725,-0.00732422,0.23114,-0.927795
16810,0.32312,0.0396118,0.221741,-0.919189
16845,0.374634,0.0633545,0.17395,-0.908508
16879,0.40094,0.0309448,0.175842,-0.89856
16911,0.425354,-0.00836182,0.172668,-0.888367
16947,0.464661,-0.0020752,0.12384,-0.87677
16980,0.467896,0.0109863,0.117249,-0.875916
17013,0.46875,0.0115356,0.147827,-0.870789
17047,0.471558,0.00994873,0.160217,-0.867126
17081,0.479614,0.0168457,0.154419,-0.863586
17113,0.471436,0.00823975,0.156494,-0.867859
17148,0.483093,0.0270996,0.144592,-0.863098
17182,0.501404,0.0463867,0.132202,-0.85376
17215,0.510803,0.0512695,0.1203,-0.84967
17248,0.531311,0.0391846,0.114624,-0.83844
17282,0.556396,-0.0444946,0.130005,-0.819458
17315,0.571655,-0.0910034,0.13208,-0.804688
17350,0.588806,-0.124451,0.103638,-0.79187
17382,0.640442,-0.123474,0.100525,-0.751282
17416,0.656799,-0.128906,0.0696411,-0.739685
17449,0.658142,-0.139465,0.0713501,-0.73645
17483,0.651367,-0.144836,0.0596313,-0.742432
17516,0.638,-0.121155,0.0516357,-0.758667
17550,0.636169,-0.132751,0.0490723,-0.758423
17584,0.604248,-0.158447,0.050415,-0.779236
17618,0.568542,-0.217651,0.0702515,-0.790222
17650,0.579956,-0.238892,0.0933838,-0.773193
17684,0.598633,-0.230286,0.0940552,-0.761414
17718,0.606262,-0.250977,0.1026,-0.74762
17752,0.620422,-0.233154,0.0912476,-0.743225
17784,0.623657,-0.219971,0.111145,-0.741821
17819,0.641418,-0.205017,0.0891113,-0.733887
17852,0.623413,-0.195313,0.0830078,-0.752502
17886,0.626221,-0.186829,0.0706787,-0.753662
17920,0.590454,-0.239319,0.0994263,-0.764343
17953,0.525085,-0.260925,0.123718,-0.800537
17987,0.422791,-0.280334,0.173279,-0.844177
18020,0.242554,-0.347839,0.189758,-0.885498
18053,0.119629,-0.339905,0.219849,-0.906555
18087,0.0562744,-0.269897,0.237793,-0.931396
18120,0.0020752,-0.217834,0.243347,-0.945129
18153,-0.038269,-0.206177,0.228699,-0.950623
18188,-0.041687,-0.191223,0.228027,-0.953796
